SimID, TxID, Size, Value, ArrivalTime
6,1,307.0,3143.1326,202
6,2,304.0,3871.5767,414
6,3,282.0,3330.3374,654
6,4,274.0,4201.293,831
6,5,15.0,3733.1675,1025
6,6,12.0,4029.9683,1044
6,7,115.0,3956.1238,1149
6,8,249.0,4143.0483,1220
6,9,327.0,3275.9097,1319
6,10,342.0,3567.7173,1345
6,11,392.0,3228.1606,1349
6,12,258.0,2864.043,1552
6,13,358.0,4275.6255,1620
6,14,281.0,2414.587,1876
6,15,91.0,4291.7876,1989
6,16,228.0,4029.5793,2080
6,17,376.0,3808.0967,2338
6,18,336.0,3259.9192,2348
6,19,105.0,2713.455,2656
6,20,200.0,3197.4707,3051
6,21,323.0,3539.4202,3197
6,22,492.0,4630.235,3240
6,23,354.0,3825.4187,3459
6,24,102.0,3524.6023,4032
6,25,282.0,3651.7654,4057
6,26,281.0,3462.8286,4311
6,27,340.0,3404.0789,4444
6,28,374.0,3544.617,4502
6,29,116.0,3761.172,4961
6,30,240.0,3150.101,5118
6,31,347.0,4343.4907,5381
6,32,116.0,2793.1743,5555
6,33,278.0,3202.8706,5772
6,34,135.0,3212.1514,5921
6,35,472.0,3776.087,5937
6,36,293.0,3981.5146,5939
6,37,282.0,3552.192,6017
6,38,263.0,3504.796,6109
6,39,340.0,3340.085,6122
6,40,149.0,4024.2136,6276
6,41,107.0,3962.7349,6465
6,42,376.0,3503.7734,6666
6,43,193.0,3684.661,7170
6,44,136.0,3753.1948,7275
6,45,417.0,3986.8015,7745
6,46,127.0,3202.3518,7794
6,47,474.0,3692.4238,8436
6,48,135.0,3142.3337,8443
6,49,254.0,3623.6782,8573
6,50,272.0,3424.181,8633
6,51,336.0,3916.4783,8708
6,52,275.0,3773.7043,8712
6,53,237.0,3702.1885,8831
6,54,183.0,3106.3313,8833
6,55,257.0,3695.5215,8851
6,56,328.0,3709.815,8938
6,57,154.0,3536.938,9013
6,58,440.0,4319.9897,9075
6,59,289.0,4284.861,9176
6,60,171.0,3533.3613,9176
6,61,244.0,3965.4197,9236
6,62,307.0,4323.352,9343
6,63,268.0,3604.6445,9405
6,64,423.0,3961.378,9747
6,65,98.0,3670.607,9995
6,66,167.0,3929.3867,10051
6,67,223.0,3505.693,10091
6,68,147.0,3827.9468,10153
6,69,213.0,3948.6277,10450
6,70,179.0,4031.171,10820
6,71,441.0,3805.4622,11240
6,72,298.0,3532.7869,11304
6,73,160.0,3667.3442,11359
6,74,93.0,3547.603,11371
6,75,168.0,3944.8093,11743
6,76,164.0,3950.0962,11749
6,77,117.0,2954.143,12111
6,78,231.0,3176.5781,12270
6,79,345.0,3566.4685,12446
6,80,92.0,2842.8577,12798
6,81,237.0,3939.792,12834
6,82,357.0,3733.253,12887
6,83,147.0,4059.5378,12977
6,84,298.0,3750.7886,13134
6,85,145.0,3800.7246,13637
6,86,270.0,3775.254,13703
6,87,60.0,3710.7327,13752
6,88,32.0,3403.4175,13926
6,89,379.0,3703.0334,14129
6,90,69.0,3434.1348,14196
6,91,453.0,4030.782,14416
6,92,154.0,3477.1853,14551
6,93,349.0,3482.3088,14551
6,94,407.0,3688.3232,14869
6,95,40.0,3728.6768,14915
6,96,395.0,4303.395,14981
6,97,259.0,3544.515,15089
6,98,159.0,2461.309,15133
6,99,284.0,3476.4487,15169
6,100,322.0,3341.5303,15454
6,101,311.0,3843.493,15499
6,102,326.0,4167.774,15727
6,103,389.0,3108.2673,15896
6,104,335.0,3002.2114,16184
6,105,363.0,3683.635,16531
6,106,213.0,3572.662,16572
6,107,222.0,3579.8066,16648
6,108,102.0,3623.1702,16919
6,109,144.0,3822.0527,16960
6,110,237.0,4225.861,16988
6,111,287.0,3487.7986,17043
6,112,248.0,3780.7705,17329
6,113,303.0,3733.6145,17374
6,114,373.0,2689.5073,17830
6,115,269.0,3738.1714,18039
6,116,350.0,4070.7551,18072
6,117,353.0,3530.3835,18135
6,118,326.0,3789.9817,18354
6,119,169.0,3244.7615,18409
6,120,233.0,3814.3494,18505
6,121,204.0,3518.3665,18526
6,122,96.0,3653.9043,18721
6,123,119.0,3194.7502,19398
6,124,297.0,3822.0034,19577
6,125,110.0,2886.973,19581
6,126,107.0,3543.0803,19921
6,127,548.0,3521.3384,20280
6,128,142.0,3209.7566,20301
6,129,330.0,2893.6792,20474
6,130,14.0,4018.6584,20486
6,131,240.0,3512.0122,20617
6,132,385.0,2713.3418,20681
6,133,161.0,3520.3708,20739
6,134,294.0,4025.266,20920
6,135,219.0,3877.0776,21036
6,136,209.0,4045.9084,21197
6,137,138.0,3819.9688,21269
6,138,206.0,3427.3901,21438
6,139,263.0,3750.2888,21493
6,140,176.0,3307.7634,21704
6,141,250.0,3728.874,21831
6,142,178.0,3933.0088,22160
6,143,350.0,3671.855,22222
6,144,231.0,3009.0974,22521
6,145,359.0,3214.8943,22594
6,146,214.0,3460.5562,22864
6,147,173.0,3191.6072,22868
6,148,304.0,3768.1536,22911
6,149,358.0,3928.019,23262
6,150,245.0,3716.3955,23362
6,151,306.0,3677.1921,23463
6,152,319.0,3934.4749,23618
6,153,252.0,3587.4692,24171
6,154,355.0,4211.092,24230
6,155,42.0,3859.3562,24438
6,156,175.0,3654.8472,24538
6,157,165.0,3732.3533,24680
6,158,208.0,3273.5151,25060
6,159,156.0,3001.6274,25064
6,160,358.0,3851.8657,25165
6,161,126.0,3850.6292,25373
6,162,393.0,3545.7922,25383
6,163,36.0,4045.688,25619
6,164,347.0,3019.3022,25807
6,165,278.0,3472.2578,25932
6,166,216.0,3684.8362,26030
6,167,124.0,3531.2314,26281
6,168,165.0,2694.0085,26646
6,169,175.0,3687.1719,26938
6,170,312.0,3260.7756,27194
6,171,81.0,3178.7214,27284
6,172,311.0,3761.2793,27443
6,173,216.0,3439.9526,27735
6,175,205.0,3915.27,27764
6,174,325.0,3724.242,27764
6,176,111.0,3048.288,27802
6,177,78.0,3322.6626,27809
6,178,188.0,3312.0356,28201
6,179,360.0,3174.9988,28243
6,180,281.0,4237.1245,28280
6,181,252.0,3725.336,28466
6,182,146.0,3468.671,28468
6,183,225.0,3695.2112,28760
6,184,278.0,3692.734,28922
6,185,211.0,3471.3625,29353
6,186,295.0,2840.9238,29726
6,187,145.0,3773.54,29751
6,188,277.0,4178.7217,30235
6,189,28.0,3486.293,30591
6,190,59.0,3687.0632,30675
6,191,221.0,3659.937,30889
6,192,410.0,3622.7441,31620
6,193,165.0,3702.4978,31823
6,194,253.0,3958.661,32092
6,195,441.0,3476.5918,32116
6,196,168.0,3740.414,32281
6,197,351.0,3962.7512,32434
6,198,263.0,3682.243,33209
6,199,121.0,3866.2256,33475
