SimID, TxID, Size, Value, ArrivalTime
26,1,307.0,3143.1326,202
26,2,304.0,3871.5767,414
26,3,282.0,3330.3374,654
26,4,274.0,4201.293,831
26,5,15.0,3733.1675,1025
26,6,12.0,4029.9683,1044
26,7,115.0,3956.1238,1149
26,8,249.0,4143.0483,1220
26,9,327.0,3275.9097,1319
26,10,342.0,3567.7173,1345
26,11,392.0,3228.1606,1349
26,12,258.0,2864.043,1552
26,13,358.0,4275.6255,1620
26,14,281.0,2414.587,1876
26,15,91.0,4291.7876,1989
26,16,228.0,4029.5793,2080
26,17,376.0,3808.0967,2338
26,18,336.0,3259.9192,2348
26,19,105.0,2713.455,2656
26,20,200.0,3197.4707,3051
26,21,323.0,3539.4202,3197
26,22,492.0,4630.235,3240
26,23,354.0,3825.4187,3459
26,24,102.0,3524.6023,4032
26,25,282.0,3651.7654,4057
26,26,281.0,3462.8286,4311
26,27,340.0,3404.0789,4444
26,28,374.0,3544.617,4502
26,29,116.0,3761.172,4961
26,30,240.0,3150.101,5118
26,31,347.0,4343.4907,5381
26,32,116.0,2793.1743,5555
26,33,278.0,3202.8706,5772
26,34,135.0,3212.1514,5921
26,35,472.0,3776.087,5937
26,36,293.0,3981.5146,5939
26,37,282.0,3552.192,6017
26,38,263.0,3504.796,6109
26,39,340.0,3340.085,6122
26,40,149.0,4024.2136,6276
26,41,107.0,3962.7349,6465
26,42,376.0,3503.7734,6666
26,43,193.0,3684.661,7170
26,44,136.0,3753.1948,7275
26,45,417.0,3986.8015,7745
26,46,127.0,3202.3518,7794
26,47,474.0,3692.4238,8436
26,48,135.0,3142.3337,8443
26,49,254.0,3623.6782,8573
26,50,272.0,3424.181,8633
26,51,336.0,3916.4783,8708
26,52,275.0,3773.7043,8712
26,53,237.0,3702.1885,8831
26,54,183.0,3106.3313,8833
26,55,257.0,3695.5215,8851
26,56,328.0,3709.815,8938
26,57,154.0,3536.938,9013
26,58,440.0,4319.9897,9075
26,59,289.0,4284.861,9176
26,60,171.0,3533.3613,9176
26,61,244.0,3965.4197,9236
26,62,307.0,4323.352,9343
26,63,268.0,3604.6445,9405
26,64,423.0,3961.378,9747
26,65,98.0,3670.607,9995
26,66,167.0,3929.3867,10051
26,67,223.0,3505.693,10091
26,68,147.0,3827.9468,10153
26,69,213.0,3948.6277,10450
26,70,179.0,4031.171,10820
26,71,441.0,3805.4622,11240
26,72,298.0,3532.7869,11304
26,73,160.0,3667.3442,11359
26,74,93.0,3547.603,11371
26,75,168.0,3944.8093,11743
26,76,164.0,3950.0962,11749
26,77,117.0,2954.143,12111
26,78,231.0,3176.5781,12270
26,79,345.0,3566.4685,12446
26,80,92.0,2842.8577,12798
26,81,237.0,3939.792,12834
26,82,357.0,3733.253,12887
26,83,147.0,4059.5378,12977
26,84,298.0,3750.7886,13134
26,85,145.0,3800.7246,13637
26,86,270.0,3775.254,13703
26,87,60.0,3710.7327,13752
26,88,32.0,3403.4175,13926
26,89,379.0,3703.0334,14129
26,90,69.0,3434.1348,14196
26,91,453.0,4030.782,14416
26,92,154.0,3477.1853,14551
26,93,349.0,3482.3088,14551
26,94,407.0,3688.3232,14869
26,95,40.0,3728.6768,14915
26,96,395.0,4303.395,14981
26,97,259.0,3544.515,15089
26,98,159.0,2461.309,15133
26,99,284.0,3476.4487,15169
26,100,322.0,3341.5303,15454
26,101,311.0,3843.493,15499
26,102,326.0,4167.774,15727
26,103,389.0,3108.2673,15896
26,104,335.0,3002.2114,16184
26,105,363.0,3683.635,16531
26,106,213.0,3572.662,16572
26,107,222.0,3579.8066,16648
26,108,102.0,3623.1702,16919
26,109,144.0,3822.0527,16960
26,110,237.0,4225.861,16988
26,111,287.0,3487.7986,17043
26,112,248.0,3780.7705,17329
26,113,303.0,3733.6145,17374
26,114,373.0,2689.5073,17830
26,115,269.0,3738.1714,18039
26,116,350.0,4070.7551,18072
